id,label,type
art:CodeofOrganizationandCivilProcedure(Cap.12)/187,art:CodeofOrganizationandCivilProcedure(Cap.12)/187,article
reg:S.L.327.731/8,reg:S.L.327.731/8,unknown
art:Cap.381/7,art:Cap.381/7,article
reg:S.L.330.10/4,reg:S.L.330.10/4,unknown
art:HomeOwnership(Encouragement)Act(Cap.328)/6,art:HomeOwnership(Encouragement)Act(Cap.328)/6,article
reg:S.L.643.02/2,reg:S.L.643.02/2,unknown
art:EMFA/4,art:EMFA/4,article
art:Cap.31/6,art:Cap.31/6,article
reg:S.L.499.23/72,reg:S.L.499.23/72,unknown
art:Cap.16/29,art:Cap.16/29,article
reg:S.L.363.20/22,reg:S.L.363.20/22,unknown
reg:S.L.549.176/Schedule 6,reg:S.L.549.176/Schedule 6,unknown
art:Cap.626/3,art:Cap.626/3,article
art:MaltaStatisticsAuthorityAct(Cap.422)/9,art:MaltaStatisticsAuthorityAct(Cap.422)/9,article
reg:S.L.65.11/84,reg:S.L.65.11/84,unknown
reg:S.L.549.80/2,reg:S.L.549.80/2,unknown
reg:S.L.595.02/7,reg:S.L.595.02/7,unknown
reg:S.L.549.63/28,reg:S.L.549.63/28,unknown
reg:S.L.542.06/3,reg:S.L.542.06/3,unknown
art:Cap.492/12G,art:Cap.492/12G,article
art:Cap.548/53,art:Cap.548/53,article
reg:S.L.281.05/paragraph 4.21,reg:S.L.281.05/paragraph 4.21,unknown
reg:S.L.117.17/4,reg:S.L.117.17/4,unknown
law:Cap.133,law:Cap.133,law
reg:S.L.37.05/17A,reg:S.L.37.05/17A,unknown
art:Cap.12/570,art:Cap.12/570,article
reg:S.L.549.122/7,reg:S.L.549.122/7,unknown
reg:S.L.601.03/256,reg:S.L.601.03/256,unknown
art:Cap.345/15B,art:Cap.345/15B,article
reg:S.L.327.176/1,reg:S.L.327.176/1,unknown
reg:S.L.382.04/9,reg:S.L.382.04/9,unknown
art:Directive2006/112/EC/284,art:Directive2006/112/EC/284,article
reg:S.L.123.33/19,reg:S.L.123.33/19,unknown
art:Cap.597/50,art:Cap.597/50,article
art:Cap.605/2,art:Cap.605/2,article
reg:S.L.260.03/7,reg:S.L.260.03/7,unknown
art:Cap.386/94,art:Cap.386/94,article
law:S.L.465.59,law:S.L.465.59,law
"reg:S.L.653.02/II, paragraph 38(i)","reg:S.L.653.02/II, paragraph 38(i)",unknown
reg:S.L.458.34/11D,reg:S.L.458.34/11D,unknown
art:SchengenInformationSystem/26,art:SchengenInformationSystem/26,article
reg:S.L.318.23/16,reg:S.L.318.23/16,unknown
reg:S.L.597.04/11,reg:S.L.597.04/11,unknown
art:ViennaConventiononDiplomaticRelationsof18April1961/29,art:ViennaConventiononDiplomaticRelationsof18April1961/29,article
reg:S.L.16/1460,reg:S.L.16/1460,unknown
reg:S.L.420.06/12,reg:S.L.420.06/12,unknown
reg:S.L.327.617/6,reg:S.L.327.617/6,unknown
reg:S.L.623.01/18,reg:S.L.623.01/18,unknown
art:Cap.606/24,art:Cap.606/24,article
art:Cap.386/70,art:Cap.386/70,article
art:Cap.258/20,art:Cap.258/20,article
reg:S.L.363.18/3,reg:S.L.363.18/3,unknown
reg:S.L.372.34/2,reg:S.L.372.34/2,unknown
reg:S.L.65.31/6,reg:S.L.65.31/6,unknown
reg:S.L.460.17/4,reg:S.L.460.17/4,unknown
art:Cap.591/53,art:Cap.591/53,article
reg:S.L.653.02/83,reg:S.L.653.02/83,unknown
art:Cap.10/211,art:Cap.10/211,article
reg:S.L.327.736/9,reg:S.L.327.736/9,unknown
art:Cap.433/13,art:Cap.433/13,article
reg:S.L.465.40/8,reg:S.L.465.40/8,unknown
reg:S.L.123.65/9,reg:S.L.123.65/9,unknown
reg:S.L.447.02/12,reg:S.L.447.02/12,unknown
reg:S.L.65.22/33,reg:S.L.65.22/33,unknown
reg:S.L.363.143/2,reg:S.L.363.143/2,unknown
reg:S.L.583.05/Second Schedule,reg:S.L.583.05/Second Schedule,unknown
art:Cap.595/36,art:Cap.595/36,article
art:Cap.9/28A,art:Cap.9/28A,article
art:Cap.630/24,art:Cap.630/24,article
art:MISC.AnimalHealthRequirem/sub-rule (2),art:MISC.AnimalHealthRequirem/sub-rule (2),article
reg:S.L.372.27/3,reg:S.L.372.27/3,unknown
art:Cap.392/5,art:Cap.392/5,article
reg:S.L.345.22/22c,reg:S.L.345.22/22c,unknown
art:Cap.386/14,art:Cap.386/14,article
art:Regulation(EU)No.1227/2011/9,art:Regulation(EU)No.1227/2011/9,article
reg:S.L.409.13/23,reg:S.L.409.13/23,unknown
reg:S.L.117.44/4,reg:S.L.117.44/4,unknown
art:Cap.480/11,art:Cap.480/11,article
art:Cap.359/6,art:Cap.359/6,article
reg:S.L.601.09/54,reg:S.L.601.09/54,unknown
art:Cap.426/24D,art:Cap.426/24D,article
reg:S.L.123.55/37,reg:S.L.123.55/37,unknown
law:L.N.117of2014,law:L.N.117of2014,law
reg:S.L.646.14/2,reg:S.L.646.14/2,unknown
art:Cap.439/34,art:Cap.439/34,article
art:Cap.16/1512,art:Cap.16/1512,article
law:Regulation(EU)No575/2013(CRR),law:Regulation(EU)No575/2013(CRR),law
reg:S.L.372.03/I.T. 109A,reg:S.L.372.03/I.T. 109A,unknown
reg:S.L.327.526/3,reg:S.L.327.526/3,unknown
art:Cap.473/13,art:Cap.473/13,article
art:Cap.372/41,art:Cap.372/41,article
reg:S.L.123.88/7,reg:S.L.123.88/7,unknown
art:theConstitution/58,art:theConstitution/58,article
art:Cap.9/22,art:Cap.9/22,article
art:Directive2006/115/EC/1,art:Directive2006/115/EC/1,article
art:Cap.12/614,art:Cap.12/614,article
reg:S.L.639.01/13,reg:S.L.639.01/13,unknown
reg:S.L.623.08/11,reg:S.L.623.08/11,unknown
reg:S.L.217.21/2,reg:S.L.217.21/2,unknown
reg:S.L.449.35/9,reg:S.L.449.35/9,unknown
reg:S.L.386.28/14,reg:S.L.386.28/14,unknown
law:(EU)2015/652,law:(EU)2015/652,law
art:Cap.94/7,art:Cap.94/7,article
law:Regulation(EU)No2021/2115,law:Regulation(EU)No2021/2115,law
reg:S.L.327.711/1,reg:S.L.327.711/1,unknown
reg:S.L.546.03/Sixth Schedule,reg:S.L.546.03/Sixth Schedule,unknown
art:Cap.16/741,art:Cap.16/741,article
art:Cap.12/147,art:Cap.12/147,article
reg:S.L.281.07/A20,reg:S.L.281.07/A20,unknown
reg:S.L.117.08/42,reg:S.L.117.08/42,unknown
art:Directive(EU)2015/849/48,art:Directive(EU)2015/849/48,article
reg:S.L.65.11/Third Schedule,reg:S.L.65.11/Third Schedule,unknown
reg:S.L.123.45/9,reg:S.L.123.45/9,unknown
reg:S.L.390.01/4,reg:S.L.390.01/4,unknown
law:Cap.365,law:Cap.365,law
"reg:S.L.427.75/Schedules I, II and III","reg:S.L.427.75/Schedules I, II and III",unknown
art:ActIVof2015/20,art:ActIVof2015/20,article
reg:S.L.123.05/16,reg:S.L.123.05/16,unknown
art:Cap.377/11,art:Cap.377/11,article
reg:S.L.386.28/(2),reg:S.L.386.28/(2),unknown
art:CRD/26,art:CRD/26,article
reg:S.L.499.59/34,reg:S.L.499.59/34,unknown
reg:S.L.16/209,reg:S.L.16/209,unknown
reg:S.L.363.59/Schedule,reg:S.L.363.59/Schedule,unknown
reg:S.L.427.39/26,reg:S.L.427.39/26,unknown
reg:S.L.433.03/IV(A)(I)(11.4),reg:S.L.433.03/IV(A)(I)(11.4),unknown
reg:S.L.385.01/11,reg:S.L.385.01/11,unknown
art:Cap.159/18,art:Cap.159/18,article
art:Directive2004/18/EC/49,art:Directive2004/18/EC/49,article
reg:S.L.425.07/5,reg:S.L.425.07/5,unknown
art:ECRegulation/19,art:ECRegulation/19,article
reg:S.L.549.27/8,reg:S.L.549.27/8,unknown
reg:S.L.499.01/78,reg:S.L.499.01/78,unknown
reg:S.L.327.88/24,reg:S.L.327.88/24,unknown
art:Cap.398/23,art:Cap.398/23,article
reg:S.L.123.48/11,reg:S.L.123.48/11,unknown
art:Cap.16/1218,art:Cap.16/1218,article
reg:S.L.161.01/18,reg:S.L.161.01/18,unknown
art:Cap.258/24,art:Cap.258/24,article
reg:S.L.403.25/57,reg:S.L.403.25/57,unknown
reg:S.L.123.77/14,reg:S.L.123.77/14,unknown
art:Cap.386/178,art:Cap.386/178,article
art:Cap.291/(4) and (5),art:Cap.291/(4) and (5),article
art:Cap.12/813,art:Cap.12/813,article
art:Cap.550/4,art:Cap.550/4,article
art:Cap.363/38,art:Cap.363/38,article
art:Cap.372/5,art:Cap.372/5,article
reg:S.L.Const.02/44,reg:S.L.Const.02/44,unknown
reg:S.L.595.38/Schedule,reg:S.L.595.38/Schedule,unknown
reg:S.L.458.35/14,reg:S.L.458.35/14,unknown
"art:BritishNationalityAct,1948/2","art:BritishNationalityAct,1948/2",article
art:Cap.327/82,art:Cap.327/82,article
reg:S.L.583.05/First Schedule,reg:S.L.583.05/First Schedule,unknown
art:Cap.647/19,art:Cap.647/19,article
"law:CommercialVesselsRegulations,2002","law:CommercialVesselsRegulations,2002",law
"art:Cap.318/First Schedule, Part I, paragraph 1","art:Cap.318/First Schedule, Part I, paragraph 1",article
reg:S.L.204.06/451,reg:S.L.204.06/451,unknown
reg:S.L.234.17/4,reg:S.L.234.17/4,unknown
reg:S.L.403.19/sub-paragraph (ii) of paragraph (a) of sub-article (1),reg:S.L.403.19/sub-paragraph (ii) of paragraph (a) of sub-article (1),unknown
reg:S.L.591.04/4,reg:S.L.591.04/4,unknown
art:Cap.16/120A,art:Cap.16/120A,article
art:Cap.478/24,art:Cap.478/24,article
art:Cap.124/3,art:Cap.124/3,article
reg:S.L.16/661,reg:S.L.16/661,unknown
art:Cap.223/9,art:Cap.223/9,article
reg:S.L.399.47/1,reg:S.L.399.47/1,unknown
art:Regulation(EU)No575/2013(CRR)/92,art:Regulation(EU)No575/2013(CRR)/92,article
reg:S.L.261.28/4,reg:S.L.261.28/4,unknown
reg:S.L.425.19/4,reg:S.L.425.19/4,unknown
reg:S.L.549.161/3,reg:S.L.549.161/3,unknown
reg:S.L.370.24/8,reg:S.L.370.24/8,unknown
reg:S.L.65.29/2,reg:S.L.65.29/2,unknown
reg:S.L.601.05/31,reg:S.L.601.05/31,unknown
art:Cap.487/34,art:Cap.487/34,article
art:Cap.465/13,art:Cap.465/13,article
reg:S.L.365.15/45,reg:S.L.365.15/45,unknown
law:MaltaQualificationsFrameworkforLifelongLearningRegulations(S.L.327.431),law:MaltaQualificationsFrameworkforLifelongLearningRegulations(S.L.327.431),law
reg:S.L.458.20/10,reg:S.L.458.20/10,unknown
reg:S.L.423.50/16,reg:S.L.423.50/16,unknown
reg:S.L.33.07/15,reg:S.L.33.07/15,unknown
reg:S.L.439.03/4,reg:S.L.439.03/4,unknown
art:Cap.16/2,art:Cap.16/2,article
reg:S.L.480.02/this Part,reg:S.L.480.02/this Part,unknown
law:ActIV.2010.6.,law:ActIV.2010.6.,law
art:theConstitution/56,art:theConstitution/56,article
art:Cap.281/2,art:Cap.281/2,article
reg:S.L.378.17/3,reg:S.L.378.17/3,unknown
reg:S.L.16.05/5,reg:S.L.16.05/5,unknown
reg:S.L.452.107/2,reg:S.L.452.107/2,unknown
reg:S.L.545.18/9,reg:S.L.545.18/9,unknown
reg:S.L.16/1577,reg:S.L.16/1577,unknown
reg:S.L.594.18/8,reg:S.L.594.18/8,unknown
reg:S.L.423.03/30,reg:S.L.423.03/30,unknown
law:EUDecision,law:EUDecision,law
art:SolvencyIIDirective/230,art:SolvencyIIDirective/230,article
art:Cap.597/19,art:Cap.597/19,article
reg:S.L.65.18/71,reg:S.L.65.18/71,unknown
reg:S.L.364.14/2,reg:S.L.364.14/2,unknown
reg:S.L.549.77/15,reg:S.L.549.77/15,unknown
reg:S.L.645.01/1,reg:S.L.645.01/1,unknown
reg:S.L.370.20/13,reg:S.L.370.20/13,unknown
reg:S.L.575.07/4,reg:S.L.575.07/4,unknown
reg:S.L.16.17/Second Schedule,reg:S.L.16.17/Second Schedule,unknown
reg:S.L.220.01/14,reg:S.L.220.01/14,unknown
reg:S.L.387.01/42,reg:S.L.387.01/42,unknown
art:PollutionCausedbyCertainDangerousSubstancesDischargedintotheAquaticEnvironmentRegulations/3,art:PollutionCausedbyCertainDangerousSubstancesDischargedintotheAquaticEnvironmentRegulations/3,article
art:Regulation(EC)No1935/2004/3,art:Regulation(EC)No1935/2004/3,article
reg:S.L.16/1320,reg:S.L.16/1320,unknown
art:Cap.585/14,art:Cap.585/14,article
reg:S.L.327.399/8,reg:S.L.327.399/8,unknown
reg:S.L.427.36/11,reg:S.L.427.36/11,unknown
law:Directive2014/59/EU,law:Directive2014/59/EU,law
reg:S.L.363.52/Part 2 of the Third Schedule,reg:S.L.363.52/Part 2 of the Third Schedule,unknown
art:Cap.234/33,art:Cap.234/33,article
art:Cap.9/606,art:Cap.9/606,article
reg:S.L.549.51/18,reg:S.L.549.51/18,unknown
reg:S.L.464.12/Sixth Schedule,reg:S.L.464.12/Sixth Schedule,unknown
reg:S.L.327.593/3,reg:S.L.327.593/3,unknown
art:Cap.255/38,art:Cap.255/38,article
art:Cap.327/72,art:Cap.327/72,article
law:S.L.449.16,law:S.L.449.16,law
reg:S.L.327.42/3,reg:S.L.327.42/3,unknown
art:SuccessionRegulation/60,art:SuccessionRegulation/60,article
reg:S.L.330.09/97,reg:S.L.330.09/97,unknown
law:CommissionDecision2009/79/EC,law:CommissionDecision2009/79/EC,law
reg:S.L.595.49/10,reg:S.L.595.49/10,unknown
art:Cap.606/12,art:Cap.606/12,article
art:Cap.442/23,art:Cap.442/23,article
art:Cap.55/88,art:Cap.55/88,article
art:Cap.607/2,art:Cap.607/2,article
reg:S.L.378.17./2,reg:S.L.378.17./2,unknown
reg:S.L.586.08/41,reg:S.L.586.08/41,unknown
reg:S.L.330.06/22,reg:S.L.330.06/22,unknown
reg:S.L.327.654/18,reg:S.L.327.654/18,unknown
law:Cap.342,law:Cap.342,law
reg:S.L.433.10/10,reg:S.L.433.10/10,unknown
reg:S.L.499.09/58,reg:S.L.499.09/58,unknown
art:Cap.493/2,art:Cap.493/2,article
reg:S.L.16/615,reg:S.L.16/615,unknown
reg:S.L.452.80/5,reg:S.L.452.80/5,unknown
reg:S.L.327.615/5,reg:S.L.327.615/5,unknown
art:Cap.392/23,art:Cap.392/23,article
reg:S.L.217.22/21,reg:S.L.217.22/21,unknown
art:Cap.591/22,art:Cap.591/22,article
reg:S.L.499.67/40,reg:S.L.499.67/40,unknown
reg:S.L.16/909,reg:S.L.16/909,unknown
reg:S.L.117.46/14,reg:S.L.117.46/14,unknown
reg:S.L.318.06/7,reg:S.L.318.06/7,unknown
reg:S.L.549.78/10,reg:S.L.549.78/10,unknown
art:Cap.318/33,art:Cap.318/33,article
reg:S.L.449.35/Sixth Schedule,reg:S.L.449.35/Sixth Schedule,unknown
reg:S.L.591.05/2,reg:S.L.591.05/2,unknown
reg:S.L.516.02/3,reg:S.L.516.02/3,unknown
art:Cap.412/15,art:Cap.412/15,article
art:Directive2006/73/EC/16,art:Directive2006/73/EC/16,article
art:SuccessionRegulation/61,art:SuccessionRegulation/61,article
art:Cap.604/30,art:Cap.604/30,article
"art:InternationalConventiononCivilLiabilityforOilPollutionDamage,1992/11","art:InternationalConventiononCivilLiabilityforOilPollutionDamage,1992/11",article
reg:S.L.65.19/56,reg:S.L.65.19/56,unknown
art:Directive2014/65/EU/45,art:Directive2014/65/EU/45,article
reg:S.L.549.111/22,reg:S.L.549.111/22,unknown
law:Cap.249,law:Cap.249,law
art:Cap.345/4C,art:Cap.345/4C,article
art:Cap.354/5,art:Cap.354/5,article
reg:S.L.234.51/First Schedule,reg:S.L.234.51/First Schedule,unknown
reg:S.L.254.01/47B,reg:S.L.254.01/47B,unknown
art:Cap.16/80,art:Cap.16/80,article
law:CouncilDirective75/324/EEC,law:CouncilDirective75/324/EEC,law
reg:S.L.586.12/2,reg:S.L.586.12/2,unknown
reg:S.L.363.15/Part 3 of the Third Schedule,reg:S.L.363.15/Part 3 of the Third Schedule,unknown
art:Cap.597/129,art:Cap.597/129,article
reg:S.L.601.09/95,reg:S.L.601.09/95,unknown
reg:S.L.643.03/21,reg:S.L.643.03/21,unknown
reg:S.L.442.03/25,reg:S.L.442.03/25,unknown
reg:S.L.406.10/Tenth Schedule,reg:S.L.406.10/Tenth Schedule,unknown
art:Cap.16/1783,art:Cap.16/1783,article
art:Cap.458/90,art:Cap.458/90,article
reg:S.L.123.207/12,reg:S.L.123.207/12,unknown
art:Cap.327/105,art:Cap.327/105,article
art:Cap.499/29,art:Cap.499/29,article
reg:S.L.258.04/3,reg:S.L.258.04/3,unknown
law:2007/36/EC,law:2007/36/EC,law
reg:S.L.427.41/Schedule VIII Part IV,reg:S.L.427.41/Schedule VIII Part IV,unknown
reg:S.L.123.164/2,reg:S.L.123.164/2,unknown
art:Cap.10/298,art:Cap.10/298,article
art:Cap.12/181,art:Cap.12/181,article
reg:S.L.16/2044,reg:S.L.16/2044,unknown
reg:S.L.371.18/29,reg:S.L.371.18/29,unknown
reg:S.L.427.40/17,reg:S.L.427.40/17,unknown
reg:S.L.65.21/Annex I,reg:S.L.65.21/Annex I,unknown
art:Cap.12/308,art:Cap.12/308,article
reg:S.L.549.81/5,reg:S.L.549.81/5,unknown
reg:S.L.117.32/25,reg:S.L.117.32/25,unknown
reg:S.L.327.165/10,reg:S.L.327.165/10,unknown
art:Cap.234/314,art:Cap.234/314,article
art:MISC.ConstitutionofMaltaC/90,art:MISC.ConstitutionofMaltaC/90,article
reg:S.L.220.04/89,reg:S.L.220.04/89,unknown
art:Cap.510/7,art:Cap.510/7,article
reg:S.L.552.17/96,reg:S.L.552.17/96,unknown
law:Directive(EU)2020/262,law:Directive(EU)2020/262,law
reg:S.L.622.02/7,reg:S.L.622.02/7,unknown
reg:S.L.161.84/5,reg:S.L.161.84/5,unknown
art:Cap.458/44,art:Cap.458/44,article
reg:S.L.499.09/13,reg:S.L.499.09/13,unknown
reg:S.L.386.05/15,reg:S.L.386.05/15,unknown
"reg:S.L.585.01/Table A, Part 1","reg:S.L.585.01/Table A, Part 1",unknown
reg:S.L.370.48/2,reg:S.L.370.48/2,unknown
reg:S.L.399.48/First Schedule Part E,reg:S.L.399.48/First Schedule Part E,unknown
reg:S.L.327.398/1,reg:S.L.327.398/1,unknown
art:Cap.16/9,art:Cap.16/9,article
reg:S.L.452.66/Schedule,reg:S.L.452.66/Schedule,unknown
reg:S.L.65.12/4,reg:S.L.65.12/4,unknown
reg:S.L.483.04/Part B of Schedule III,reg:S.L.483.04/Part B of Schedule III,unknown
law:S.L.480.02,law:S.L.480.02,law
art:Directive94/62/EC/8a,art:Directive94/62/EC/8a,article
reg:S.L.427.24/6,reg:S.L.427.24/6,unknown
law:CouncilRegulation(EC)No.2223/96,law:CouncilRegulation(EC)No.2223/96,law
reg:S.L.199.01/4A,reg:S.L.199.01/4A,unknown
reg:S.L.449.50/9,reg:S.L.449.50/9,unknown
reg:S.L.549.43/10C,reg:S.L.549.43/10C,unknown
reg:S.L.406.23/1,reg:S.L.406.23/1,unknown
art:Cap.534/59,art:Cap.534/59,article
reg:S.L.447.03/9,reg:S.L.447.03/9,unknown
art:Cap.123/d,art:Cap.123/d,article
art:Cap.234/197,art:Cap.234/197,article
reg:S.L.406.05/3,reg:S.L.406.05/3,unknown
reg:S.L.441.05/9,reg:S.L.441.05/9,unknown
reg:S.L.514.08/27,reg:S.L.514.08/27,unknown
art:Cap.237/86,art:Cap.237/86,article
art:Cap.473/9B,art:Cap.473/9B,article
reg:S.L.37.13/5,reg:S.L.37.13/5,unknown
reg:S.L.406.12/7,reg:S.L.406.12/7,unknown
art:Regulation(EU)2018/1860/7,art:Regulation(EU)2018/1860/7,article
art:theAct/5A,art:theAct/5A,article
art:CriminalCode/248D,art:CriminalCode/248D,article
art:Cap.455/17,art:Cap.455/17,article
art:Cap.480/7,art:Cap.480/7,article
art:SRMRegulation/71,art:SRMRegulation/71,article
reg:S.L.123.192/17,reg:S.L.123.192/17,unknown
art:Cap.254/21,art:Cap.254/21,article
art:Cap.510/59,art:Cap.510/59,article
reg:S.L.549.111/17,reg:S.L.549.111/17,unknown
reg:S.L.425.14/60,reg:S.L.425.14/60,unknown
reg:S.L.623.12/Schedule I,reg:S.L.623.12/Schedule I,unknown
reg:S.L.437.38/2,reg:S.L.437.38/2,unknown
art:CriminalCode(Cap.9)/144,art:CriminalCode(Cap.9)/144,article
law:CommissionRegulation(EC)No637/2009,law:CommissionRegulation(EC)No637/2009,law
reg:S.L.499.01/61,reg:S.L.499.01/61,unknown
art:MeasuringInstrumentsandMethodsofMetrologicalControlRegulations2006/12,art:MeasuringInstrumentsandMethodsofMetrologicalControlRegulations2006/12,article
art:Cap.13/79,art:Cap.13/79,article
reg:S.L.439.12/6,reg:S.L.439.12/6,unknown
art:Cap.386/420,art:Cap.386/420,article
art:IncomeTaxManagementAct/20,art:IncomeTaxManagementAct/20,article
art:Cap.503/57,art:Cap.503/57,article
law:L.N.32of2012,law:L.N.32of2012,law
reg:S.L.261.19/1,reg:S.L.261.19/1,unknown
reg:S.L.123.173/8,reg:S.L.123.173/8,unknown
reg:S.L.622.01/Third Schedule,reg:S.L.622.01/Third Schedule,unknown
reg:S.L.487.07/11,reg:S.L.487.07/11,unknown
reg:S.L.449.39/Part A of the Schedule,reg:S.L.449.39/Part A of the Schedule,unknown
art:Cap.372/2E,art:Cap.372/2E,article
reg:S.L.601.05/111,reg:S.L.601.05/111,unknown
art:Cap.547/15,art:Cap.547/15,article
reg:S.L.261.21/H.A. 89/97,reg:S.L.261.21/H.A. 89/97,unknown
reg:S.L.643.01/Third Schedule,reg:S.L.643.01/Third Schedule,unknown
reg:S.L.418.06/34,reg:S.L.418.06/34,unknown
reg:S.L.452.39/2,reg:S.L.452.39/2,unknown
reg:S.L.549.127/3,reg:S.L.549.127/3,unknown
reg:S.L.123.55/44,reg:S.L.123.55/44,unknown
art:Cap.335/9,art:Cap.335/9,article
reg:S.L.549.46/27,reg:S.L.549.46/27,unknown
reg:S.L.123.152/6,reg:S.L.123.152/6,unknown
"law:AlgorithmicTradingRegulations,2017","law:AlgorithmicTradingRegulations,2017",law
law:Directive2008/6/EC,law:Directive2008/6/EC,law
reg:S.L.363.80/Second Schedule,reg:S.L.363.80/Second Schedule,unknown
reg:S.L.403.26/(3),reg:S.L.403.26/(3),unknown
reg:S.L.552.28/5,reg:S.L.552.28/5,unknown
reg:S.L.581.01/10,reg:S.L.581.01/10,unknown
art:Cap.281/15A,art:Cap.281/15A,article
art:Cap.368/14,art:Cap.368/14,article
reg:S.L.363.19/11,reg:S.L.363.19/11,unknown
"reg:S.L.370.46/Chapter 1, Section 2 of Title IV","reg:S.L.370.46/Chapter 1, Section 2 of Title IV",unknown
reg:S.L.345.20/3,reg:S.L.345.20/3,unknown
art:Cap.358/8,art:Cap.358/8,article
law:BankingAct(SupervisoryReview)Regulations,law:BankingAct(SupervisoryReview)Regulations,law
law:S.L.445.02,law:S.L.445.02,law
art:Cap.55/35,art:Cap.55/35,article
law:ActXX.2012.4,law:ActXX.2012.4,law
law:Cap.26,law:Cap.26,law
art:Cap.386/72,art:Cap.386/72,article
reg:S.L.587.01/2,reg:S.L.587.01/2,unknown
reg:S.L.378.16/2,reg:S.L.378.16/2,unknown
art:Cap.437/20,art:Cap.437/20,article
art:Cap.393/3,art:Cap.393/3,article
art:Cap.502/13,art:Cap.502/13,article
reg:S.L.452.42/2,reg:S.L.452.42/2,unknown
art:Cap.373/26,art:Cap.373/26,article
art:Cap.110/3,art:Cap.110/3,article
reg:S.L.378.21/3,reg:S.L.378.21/3,unknown
reg:S.L.424.18/5,reg:S.L.424.18/5,unknown
reg:S.L.386.15/26,reg:S.L.386.15/26,unknown
reg:S.L.9.30/Annex III,reg:S.L.9.30/Annex III,unknown
reg:S.L.16/2090,reg:S.L.16/2090,unknown
reg:S.L.327.588/5,reg:S.L.327.588/5,unknown
reg:S.L.528.10/2,reg:S.L.528.10/2,unknown
art:EuropeanUnionCouncilDirective72/462/EEC/1,art:EuropeanUnionCouncilDirective72/462/EEC/1,article
reg:S.L.327.728/10,reg:S.L.327.728/10,unknown
reg:S.L.597.04/83,reg:S.L.597.04/83,unknown
art:theCRR/395,art:theCRR/395,article
reg:S.L.549.29/10,reg:S.L.549.29/10,unknown
reg:S.L.327.335/8,reg:S.L.327.335/8,unknown
reg:S.L.437.02/2,reg:S.L.437.02/2,unknown
